ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
472,Go?tschen-Bischofswiesen,47.6495716,12.9380903,Germany,Europe,25,December - April,1307,880,2,1,4,7,2,35,2,1,0,3,4000,Yes,No,Yes,No
473,Torrent-Leukerbad,46.3728566,7.6541765,Switzerland,Europe,46,December - April,2610,1411,3,26,16,45,11,40,8,1,5,14,11390,Yes,Yes,No,No
474,Monte Popolo-Eben im Pongau,47.4041442,13.41875165,Austria,Europe,36,December - April,1612,862,4,2,0,6,3,55,2,2,0,4,4550,Yes,Yes,No,No
478,Unternberg-Ruhpolding-,47.7293144,12.6401193,Germany,Europe,20,December - March,1417,710,1,1,0,2,1,15,3,1,0,4,3350,Yes,No,Yes,No
479,Diavolezza-?Lagalb,46.429214,9.977345144,Switzerland,Europe,59,"October - November, December - May, June - October",3006,2091,0,21,10,31,10,20,9,2,0,11,3970,Yes,No,No,Yes
488,Postwiesen Skidorf-Neuastenberg,51.188476,8.518201,Germany,Europe,26,December - March,730,605,3,3,1,7,1,23,8,1,0,9,6762,Yes,Yes,Yes,No
489,Kaiseregg-?Riggisalp-Schwarzsee,46.6524972,7.3190559,Switzerland,Europe,34,December - March,1750,1050,14,5,1,20,0,46,11,3,1,15,5790,Yes,Yes,Yes,No
492,Oberjoch-Bad Hindelang-– Iseler,47.5087114,10.4087222,Germany,Europe,38,December - April,1559,1130,6,24,2,32,2,70,2,4,0,6,12388,Yes,Yes,Yes,No
493,Mo?nichkirchen-?Mariensee,47.5235306,15.99868228,Austria,Europe,35,March,1450,870,5,6,2,13,0,80,3,3,0,6,6741,Yes,Yes,No,No
494,Gra?chen,46.1960178,7.8421612,Switzerland,Europe,48,December - April,2864,1619,9,31,2,42,7,0,9,5,1,15,13860,Yes,No,No,No
496,Kranzberg-Mittenwald,47.4513588,11.2286303,Germany,Europe,29,December,1350,980,6,7,2,15,2,8,9,1,0,10,5850,Yes,Yes,Yes,No
497,Wetterstein lifts-Wettersteinbahnen-– Ehrwald,47.406897,10.927998,Austria,Europe,43,December - March,1530,1000,15,5,3,23,3,33,6,4,0,10,5425,Yes,Yes,No,No
498,Stuhleck-Spital am Semmering,47.5741948,15.7899645,Austria,Europe,42,April,1774,777,18,6,0,24,0,240,7,2,0,9,14400,Yes,Yes,Yes,No
